type,source_tier,inferred_name,folder,ext,era_hints,culture_hints,path
building,BTG,boundshape,buildings,.nif,,,Art/BTG/ChooseReligions/Asen_Files/Buildings/BoundShape.nif
building,BTG,druidcathedral,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidCathedral.dds
building,BTG,druidcathedral,buildings,.nif,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidCathedral.nif
building,BTG,druidcathedral button,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidCathedral_Button.dds
building,BTG,druidcathedral shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidCathedral_Shadow.dds
building,BTG,druidmonastery,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidMonastery.dds
building,BTG,druidmonastery,buildings,.nif,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidMonastery.nif
building,BTG,druidmonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidMonastery_Button.dds
building,BTG,druidmonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidMonastery_Shadow.dds
building,BTG,druidshrine,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidShrine.dds
building,BTG,druidshrine,buildings,.nif,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidShrine.nif
building,BTG,druidshrine button,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidShrine_Button.dds
building,BTG,druidshrine shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidShrine_Shadow.dds
building,BTG,druidtemple,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidTemple.dds
building,BTG,druidtemple,buildings,.nif,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidTemple.nif
building,BTG,druidtemple button,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidTemple_Button.dds
building,BTG,druidtemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/DruidTemple_Shadow.dds
building,BTG,oak,buildings,.dds,,,Art/BTG/ChooseReligions/Druid_Files/Buildings/oak.dds
building,BTG,freemcathedral,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMCathedral.dds
building,BTG,freemcathedral,buildings,.nif,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMCathedral.nif
building,BTG,freemcathedral button,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMCathedral_Button.dds
building,BTG,freemcathedral shadow,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMCathedral_Shadow.dds
building,BTG,freemmonastery,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMMonastery.dds
building,BTG,freemmonastery,buildings,.nif,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMMonastery.nif
building,BTG,freemmonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMMonastery_Button.dds
building,BTG,freemmonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMMonastery_Shadow.dds
building,BTG,freemshrine,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMShrine.dds
building,BTG,freemshrine,buildings,.nif,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMShrine.nif
building,BTG,freemshrine button,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMShrine_Button.dds
building,BTG,freemshrine shadow,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMShrine_Shadow.dds
building,BTG,freemtemple,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMTemple.dds
building,BTG,freemtemple,buildings,.nif,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMTemple.nif
building,BTG,freemtemple button,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMTemple_Button.dds
building,BTG,freemtemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/FreeM_Files/Buildings/FreeMTemple_Shadow.dds
building,BTG,boundshape,buildings,.nif,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/BoundShape.nif
building,BTG,necromanteion,buildings,.nif,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Necromanteion.nif
building,BTG,necromanteion button,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Necromanteion_Button.dds
building,BTG,necromanteion diffuse,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Necromanteion_Diffuse.dds
building,BTG,necromanteion shadow,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Necromanteion_Shadow.dds
building,BTG,olympmonastery,buildings,.nif,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/OlympMonastery.nif
building,BTG,olympmonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/OlympMonastery_Button.dds
building,BTG,olympmonastery diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/OlympMonastery_Diffuse.dds
building,BTG,olympmonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/OlympMonastery_Shadow.dds
building,BTG,pantheon,buildings,.nif,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Pantheon.nif
building,BTG,pantheon button,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Pantheon_Button.dds
building,BTG,pantheon diff,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Pantheon_Diff.dds
building,BTG,pantheon shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Olymp_Files/Buildings/Pantheon_Shadow.dds
building,BTG,romantemple,buildings,.nif,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/RomanTemple.nif
building,BTG,romantemple button,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/RomanTemple_Button.dds
building,BTG,romantemple diff,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/RomanTemple_Diff.dds
building,BTG,romantemple shadow,buildings,.dds,ancient,european,Art/BTG/ChooseReligions/Olymp_Files/Buildings/RomanTemple_Shadow.dds
building,BTG,boundshape,buildings,.nif,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/BoundShape.nif
building,BTG,egypttemple,buildings,.nif,ancient,middle_eastern,Art/BTG/ChooseReligions/Ra_Files/Buildings/EgyptTemple.nif
building,BTG,egypttemple button,buildings,.dds,ancient,middle_eastern,Art/BTG/ChooseReligions/Ra_Files/Buildings/EgyptTemple_Button.dds
building,BTG,egypttemple diffuse,buildings,.dds,ancient,middle_eastern,Art/BTG/ChooseReligions/Ra_Files/Buildings/EgyptTemple_Diffuse.dds
building,BTG,egypttemple shadow,buildings,.dds,ancient,middle_eastern,Art/BTG/ChooseReligions/Ra_Files/Buildings/EgyptTemple_Shadow.dds
building,BTG,horustemple,buildings,.nif,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/HorusTemple.nif
building,BTG,horustemple button,buildings,.dds,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/HorusTemple_Button.dds
building,BTG,horustemple diff,buildings,.dds,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/HorusTemple_Diff.dds
building,BTG,horustemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/HorusTemple_Shadow.dds
building,BTG,nubianpyramid,buildings,.dds,,african,Art/BTG/ChooseReligions/Ra_Files/Buildings/NubianPyramid.dds
building,BTG,nubianpyramid,buildings,.nif,,african,Art/BTG/ChooseReligions/Ra_Files/Buildings/NubianPyramid.nif
building,BTG,nubianpyramid button,buildings,.dds,,african,Art/BTG/ChooseReligions/Ra_Files/Buildings/NubianPyramid_Button.dds
building,BTG,sphinx,buildings,.dds,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/sphinx.dds
building,BTG,sphinx,buildings,.nif,,,Art/BTG/ChooseReligions/Ra_Files/Buildings/sphinx.nif
building,BTG,fire diff,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/Fire_DIFF.dds
building,BTG,fire gloss,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/Fire_GLOSS.dds
building,BTG,shamancathedral,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanCathedral.dds
building,BTG,shamancathedral,buildings,.nif,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanCathedral.nif
building,BTG,shamancathedral button,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanCathedral_Button.dds
building,BTG,shamancathedral shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanCathedral_Shadow.dds
building,BTG,shamanmonastery,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanMonastery.dds
building,BTG,shamanmonastery,buildings,.nif,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanMonastery.nif
building,BTG,shamanmonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanMonastery_Button.dds
building,BTG,shamanmonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanMonastery_Shadow.dds
building,BTG,shamanshrine2,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanShrine2.dds
building,BTG,shamanshrine2,buildings,.nif,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanShrine2.nif
building,BTG,shamanshrine button,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanShrine_Button.dds
building,BTG,shamanshrine shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanShrine_Shadow.dds
building,BTG,shamantemple,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanTemple.dds
building,BTG,shamantemple,buildings,.nif,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanTemple.nif
building,BTG,shamantemple button,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanTemple_Button.dds
building,BTG,shamantemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/ShamanTemple_Shadow.dds
building,BTG,fx fireswirl 02,buildings,.dds,,,Art/BTG/ChooseReligions/Shaman_Files/Buildings/fx_fireswirl_02.dds
building,BTG,boundshape,buildings,.nif,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/BoundShape.nif
building,BTG,shintocathedral,buildings,.nif,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoCathedral.nif
building,BTG,shintocathedral button,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoCathedral_Button.dds
building,BTG,shintocathedral diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoCathedral_Diffuse.dds
building,BTG,shintocathedral shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoCathedral_Shadow.dds
building,BTG,shintomonastery,buildings,.nif,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoMonastery.nif
building,BTG,shintomonastery button,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoMonastery_Button.dds
building,BTG,shintomonastery diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoMonastery_Diffuse.dds
building,BTG,shintomonastery shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoMonastery_Shadow.dds
building,BTG,shintonaiku diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoNaiku_Diffuse.dds
building,BTG,shintonaiku gloss,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoNaiku_Gloss.dds
building,BTG,shintonaiku shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoNaiku_Shadow.dds
building,BTG,shintotemple,buildings,.nif,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple.nif
building,BTG,shintotemple button,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple_Button.dds
building,BTG,shintotemple diffuse,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple_Diffuse.dds
building,BTG,shintotemple env,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple_ENV.dds
building,BTG,shintotemple gloss,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple_GLOSS.dds
building,BTG,shintotemple shadow,buildings,.dds,,,Art/BTG/ChooseReligions/Shinto_Files/Buildings/ShintoTemple_Shadow.dds
building,BTG,boundshape,buildings,.nif,,,Art/BTG/ChooseReligions/Toltec_Files/Buildings/BoundShape.nif
