"Type","TypeLine","ShadowLine","Attach","AttachLine","Scale","ScaleLine"
"ART_DEF_UNIT_QUANG_TRUNG","19188","19195","BIP Pelvis","19196","1.0","19197"
"ART_DEF_UNIT_ROSTAM","19255","19263","HorseBip Spine1","19264","1.0","19265"
"ART_DEF_UNIT_SHAH_RUKH","19313","19321","BIP Pelvis","19322","1.0","19323"
"ART_DEF_UNIT_SUBOTEI","19447","19455","BIP Pelvis","19456","1.0","19457"
"ART_DEF_UNIT_SUNDIATA_KEITA","19464","19472","HorseBip Spine1","19473","1.0","19474"
"ART_DEF_UNIT_THUTMOSE_III","19565","19573","BIP Pelvis","19574","1.0","19575"
"ART_DEF_UNIT_TIRADENTES","19582","19590","HorseBip Spine1","19591","1.0","19592"
"ART_DEF_UNIT_ULUGH_BEG","19720","19728","BIP Pelvis","19729","1.0","19730"
"ART_DEF_UNIT_YUSUF","19773","19781","BIP Pelvis","19782","1.0","19783"
"ART_DEF_UNIT_ADVENTURER_NATIVE_AMERICAN","19873","19881","HorseBip Spine1","19882","1.0","19883"
"ART_DEF_UNIT_BANDIT_RIDER_NATIVE_AMERICAN","20173","20181","HorseBip Spine1","20182","1.0","20183"
"ART_DEF_UNIT_CAMEL_ARCHER_NATIVE_AMERICAN","20340","20348","BIP Pelvis","20349","1.0","20350"
"ART_DEF_UNIT_CAMEL_GUNNER_NATIVE_AMERICAN","20358","20366","BIP Pelvis","20367","1.0","20368"
"ART_DEF_UNIT_CAMEL_KNIGHT_NATIVE_AMERICAN","20376","20384","BIP Pelvis","20385","1.0","20386"
"ART_DEF_UNIT_CAMEL_RIDER_NATIVE_AMERICAN","20393","20400","MD","20401","0.7","20402"
"ART_DEF_UNIT_CARABINIER_NATIVE_AMERICAN","20439","20447","HorseBip Spine1","20448","1.0","20449"
"ART_DEF_UNIT_CAVALRY_NATIVE_AMERICAN","20456","20464","HorseBip Spine1","20465","1.0","20466"
"ART_DEF_UNIT_CUIRASSIER_NATIVE_AMERICAN","20677","20685","HorseBip Spine1","20686","1.0","20687"
"ART_DEF_UNIT_DRAGOON_NATIVE_AMERICAN","20724","20732","HorseBip Spine1","20733","1.0","20734"
"ART_DEF_UNIT_HEAVY_CAVALRY_NATIVE_AMERICAN","21351","21359","BIP Pelvis","21360","1.0","21361"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_NATIVE_AMERICAN","21403","21411","BIP Pelvis","21412","1.0","21413"
"ART_DEF_UNIT_HIGHWAYMAN_NATIVE_AMERICAN","21420","21428","HorseBip Spine1","21429","1.0","21430"
"ART_DEF_UNIT_HORSE_ARCHER_NATIVE_AMERICAN","21437","21445","BIP Pelvis","21446","1.0","21447"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_NATIVE_AMERICAN","21455","21463","BIP Pelvis","21464","1.0","21465"
"ART_DEF_UNIT_HORSEMAN_NATIVE_AMERICAN","21473","21481","HorseBip Spine1","21482","1.0","21483"
"ART_DEF_UNIT_KNIGHT_NATIVE_AMERICAN","21658","21666","BIP Pelvis","21667","1.0","21668"
"ART_DEF_UNIT_LANCER_NATIVE_AMERICAN","21675","21683","HorseBip Spine1","21684","1.0","21685"
"ART_DEF_UNIT_LIGHT_CAVALRY_NATIVE_AMERICAN","21726","21733","BIP Pelvis","21734","1.0","21735"
"ART_DEF_UNIT_MAILED_KNIGHT_NATIVE_AMERICAN","21830","21838","BIP Pelvis","21839","1.0","21840"
"ART_DEF_UNIT_OUTLAW_NATIVE_AMERICAN","22450","22458","HorseBip Spine1","22459","1.0","22460"
"ART_DEF_UNIT_TRENCH_CAVALRY_NATIVE_AMERICAN","23141","23149","HorseBip Spine1","23150","1.0","23151"
"ART_DEF_UNIT_ADVENTURER_SOUTH_AMERICA","23660","23668","HorseBip Spine1","23669","1.0","23670"
"ART_DEF_UNIT_BANDIT_RIDER_SOUTH_AMERICA","23975","23983","HorseBip Spine1","23984","1.0","23985"
"ART_DEF_UNIT_CAMEL_ARCHER_SOUTH_AMERICA","24142","24150","BIP Pelvis","24151","1.0","24152"
"ART_DEF_UNIT_CAMEL_GUNNER_SOUTH_AMERICA","24160","24168","BIP Pelvis","24169","1.0","24170"
"ART_DEF_UNIT_CAMEL_KNIGHT_SOUTH_AMERICA","24178","24186","BIP Pelvis","24187","1.0","24188"
"ART_DEF_UNIT_CAMEL_RIDER_SOUTH_AMERICA","24195","24202","MD","24203","0.7","24204"
"ART_DEF_UNIT_CARABINIER_SOUTH_AMERICA","24241","24249","HorseBip Spine1","24250","1.0","24251"
"ART_DEF_UNIT_CAVALRY_SOUTH_AMERICA","24258","24266","HorseBip Spine1","24267","1.0","24268"
"ART_DEF_UNIT_CUIRASSIER_SOUTH_AMERICA","24429","24437","HorseBip Spine1","24438","1.0","24439"
"ART_DEF_UNIT_DRAGOON_SOUTH_AMERICA","24476","24484","HorseBip Spine1","24485","1.0","24486"
"ART_DEF_UNIT_HEAVY_CAVALRY_SOUTH_AMERICA","25108","25116","BIP Pelvis","25117","1.0","25118"
"ART_DEF_UNIT_HEAVY_PIKEMAN_SOUTH_AMERICA","25143","25151","BIP Pelvis","25152","1.0","25153"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_SOUTH_AMERICA","25160","25168","BIP Pelvis","25169","1.0","25170"
"ART_DEF_UNIT_HIGHWAYMAN_SOUTH_AMERICA","25177","25185","HorseBip Spine1","25186","1.0","25187"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_SOUTH_AMERICA","25194","25202","BIP Pelvis","25203","1.0","25204"
"ART_DEF_UNIT_HORSEMAN_SOUTH_AMERICA","25212","25220","HorseBip Spine1","25221","1.0","25222"
"ART_DEF_UNIT_LANCER_SOUTH_AMERICA","25398","25406","HorseBip Spine1","25407","1.0","25408"
"ART_DEF_UNIT_LIGHT_CAVALRY_SOUTH_AMERICA","25466","25474","BIP Pelvis","25475","1.0","25476"
"ART_DEF_UNIT_MAILED_KNIGHT_SOUTH_AMERICA","25553","25561","BIP Pelvis","25562","1.0","25563"
"ART_DEF_UNIT_MOUNTED_INFANTRY_SOUTH_AMERICA","26107","26115","BIP Pelvis","26116","1.0","26117"
"ART_DEF_UNIT_OUTLAW_SOUTH_AMERICA","26225","26233","HorseBip Spine1","26234","1.0","26235"
"ART_DEF_UNIT_TRENCH_CAVALRY_SOUTH_AMERICA","26834","26842","HorseBip Spine1","26843","1.0","26844"
"ART_DEF_UNIT_BANDIT_RIDER_EUROPEAN","27407","27415","HorseBip Spine1","27416","1.0","27417"
"ART_DEF_UNIT_CAMEL_ARCHER_EUROPEAN","27505","27513","BIP Pelvis","27514","1.0","27515"
"ART_DEF_UNIT_CAMEL_GUNNER_EUROPEAN","27523","27531","BIP Pelvis","27532","1.0","27533"
"ART_DEF_UNIT_CAMEL_KNIGHT_EUROPEAN","27541","27549","BIP Pelvis","27550","1.0","27551"
"ART_DEF_UNIT_HORSEMAN_EUROPEAN","28016","28024","HorseBip Spine1","28025","1.0","28026"
"ART_DEF_UNIT_LANCER_EUROPEAN","28033","28041","HorseBip Spine1","28042","1.0","28043"
"ART_DEF_UNIT_ADVENTURER_ASIAN","28641","28649","HorseBip Spine1","28650","1.0","28651"
"ART_DEF_UNIT_BANDIT_RIDER_ASIAN","28938","28946","HorseBip Spine1","28947","1.0","28948"
"ART_DEF_UNIT_CAMEL_ARCHER_ASIAN","29140","29148","BIP Pelvis","29149","1.0","29150"
"ART_DEF_UNIT_CAMEL_GUNNER_ASIAN","29158","29166","BIP Pelvis","29167","1.0","29168"
"ART_DEF_UNIT_CAMEL_KNIGHT_ASIAN","29176","29184","BIP Pelvis","29185","1.0","29186"
"ART_DEF_UNIT_CARABINIER_ASIAN","29223","29231","HorseBip Spine1","29232","1.0","29233"
"ART_DEF_UNIT_CAVALRY_ASIAN","29276","29284","HorseBip Spine1","29285","1.0","29286"
"ART_DEF_UNIT_CHIVALRY_ASIAN","29392","29400","BIP Pelvis","29401","1.0","29402"
"ART_DEF_UNIT_CUIRASSIER_ASIAN","29532","29540","HorseBip Spine1","29541","1.0","29542"
"ART_DEF_UNIT_DRAGOON_ASIAN","29616","29624","HorseBip Spine1","29625","1.0","29626"
"ART_DEF_UNIT_HEAVY_CAVALRY_CHINA","30393","30401","BIP Pelvis","30402","1.0","30403"
"ART_DEF_UNIT_HIGHWAYMAN_ASIAN","30462","30470","HorseBip Spine1","30471","1.0","30472"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_ASIAN","30479","30487","BIP Pelvis","30488","1.0","30489"
"ART_DEF_UNIT_LANCER_ASIAN","30665","30673","HorseBip Spine1","30674","1.0","30675"
"ART_DEF_UNIT_LIGHT_CAVALRY_ASIAN","30733","30741","HorseBip Spine1","30742","1.0","30743"
"ART_DEF_UNIT_MOUNTED_INFANTRY_ASIAN","31374","31381","BIP Pelvis","31382","1.0","31383"
"ART_DEF_UNIT_OUTLAW_ASIAN","31489","31497","HorseBip Spine1","31498","1.0","31499"
"ART_DEF_UNIT_TRENCH_CAVALRY_ASIAN","32276","32284","HorseBip Spine1","32285","1.0","32286"
"ART_DEF_UNIT_ADVENTURER_AFRICAN","32833","32841","HorseBip Spine1","32842","1.0","32843"
"ART_DEF_UNIT_BANDIT_RIDER_AFRICAN","33167","33175","HorseBip Spine1","33176","1.0","33177"
"ART_DEF_UNIT_CAMEL_GUNNER_AFRICAN","33351","33359","BIP Pelvis","33360","1.0","33361"
"ART_DEF_UNIT_CAMEL_KNIGHT_AFRICAN","33369","33377","BIP Pelvis","33378","1.0","33379"
"ART_DEF_UNIT_CAMEL_RIDER_AFRICAN","33386","33393","MD","33394","0.7","33395"
"ART_DEF_UNIT_CARABINIER_AFRICAN","33468","33476","HorseBip Spine1","33477","1.0","33478"
"ART_DEF_UNIT_CAVALRY_AFRICAN","33485","33493","HorseBip Spine1","33494","1.0","33495"
"ART_DEF_UNIT_CHIVALRY_AFRICAN","33720","33728","BIP Pelvis","33729","1.0","33730"
"ART_DEF_UNIT_CUIRASSIER_AFRICAN","33876","33884","HorseBip Spine1","33885","1.0","33886"
"ART_DEF_UNIT_DRAGOON_AFRICAN","33923","33931","HorseBip Spine1","33932","1.0","33933"
"ART_DEF_UNIT_HEAVY_CAVALRY_AFRICAN","34588","34596","BIP Pelvis","34597","1.0","34598"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_AFRICAN","34640","34648","BIP Pelvis","34649","1.0","34650"
"ART_DEF_UNIT_HIGHWAYMAN_AFRICAN","34657","34665","HorseBip Spine1","34666","1.0","34667"
"ART_DEF_UNIT_HORSE_ARCHER_AFRICAN","34691","34699","BIP Pelvis","34700","1.0","34701"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_AFRICAN","34709","34717","BIP Pelvis","34718","1.0","34719"
"ART_DEF_UNIT_HORSEMAN_AFRICAN","34727","34735","BIP Pelvis","34736","1.0","34737"
"ART_DEF_UNIT_KNIGHT_AFRICAN","34964","34972","BIP Pelvis","34973","1.0","34974"
"ART_DEF_UNIT_LANCER_AFRICAN","34981","34989","HorseBip Spine1","34990","1.0","34991"
"ART_DEF_UNIT_LIGHT_CAVALRY_AFRICAN","35066","35074","BIP Pelvis","35075","1.0","35076"
"ART_DEF_UNIT_MOUNTED_INFANTRY_AFRICAN","35707","35715","BIP Pelvis","35716","1.0","35717"
"ART_DEF_UNIT_OUTLAW_AFRICAN","35824","35832","HorseBip Spine1","35833","1.0","35834"
"ART_DEF_UNIT_TRENCH_CAVALRY_AFRICAN","36606","36614","HorseBip Spine1","36615","1.0","36616"
"ART_DEF_UNIT_ADVENTURER_MEAST","37125","37133","HorseBip Spine1","37134","1.0","37135"
"ART_DEF_UNIT_CAMEL_ARCHER_MEAST","37477","37485","BIP Pelvis","37486","1.0","37487"
"ART_DEF_UNIT_CARABINIER_MEAST","37495","37503","HorseBip Spine1","37504","1.0","37505"
"ART_DEF_UNIT_CAVALRY_MEAST","37512","37520","HorseBip Spine1","37521","1.0","37522"
"ART_DEF_UNIT_CHIVALRY_MEAST","37596","37603","BIP Pelvis","37604","1.0","37605"
"ART_DEF_UNIT_CUIRASSIER_MEAST","37753","37761","HorseBip Spine1","37762","1.0","37763"
"ART_DEF_UNIT_DRAGOON_MEAST","37800","37808","HorseBip Spine1","37809","1.0","37810"
"ART_DEF_UNIT_HEAVY_CAVALRY_MEAST","38328","38335","BIP Pelvis","38336","1.0","38337"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_MEAST","38362","38370","BIP Pelvis","38371","1.0","38372"
"ART_DEF_UNIT_HIGHWAYMAN_MEAST","38379","38387","HorseBip Spine1","38388","1.0","38389"
"ART_DEF_UNIT_HORSE_ARCHER_MEAST","38396","38404","BIP Pelvis","38405","1.0","38406"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_MEAST","38414","38422","BIP Pelvis","38423","1.0","38424"
"ART_DEF_UNIT_KNIGHT_MEAST","38583","38591","BIP Pelvis","38592","1.0","38593"
"ART_DEF_UNIT_LANCER_MEAST","38600","38608","HorseBip Spine1","38609","1.0","38610"
"ART_DEF_UNIT_LIGHT_CAVALRY_MEAST","38668","38676","BIP Pelvis","38677","1.0","38678"
"ART_DEF_UNIT_MOUNTED_INFANTRY_MEAST","39326","39334","BIP Pelvis","39335","1.0","39336"
"ART_DEF_UNIT_OUTLAW_MEAST","39442","39450","HorseBip Spine1","39451","1.0","39452"
"ART_DEF_UNIT_TRENCH_CAVALRY_MEAST","40052","40060","HorseBip Spine1","40061","1.0","40062"
"ART_DEF_UNIT_ADVENTURER_MESO_AMERICAN","40555","40563","HorseBip Spine1","40564","1.0","40565"
"ART_DEF_UNIT_CARABINIER_MESO_AMERICAN","40870","40877","HorseBip Spine1","40878","1.0","40879"
"ART_DEF_UNIT_CAVALRY_MESO_AMERICAN","40922","40930","HorseBip Spine1","40931","1.0","40932"
"ART_DEF_UNIT_CUIRASSIER_MESO_AMERICAN","41108","41115","HorseBip Spine1","41116","1.0","41117"
"ART_DEF_UNIT_HEAVY_CAVALRY_MESO_AMERICAN","41433","41441","BIP Pelvis","41442","1.0","41443"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_MESO_AMERICAN","41467","41475","BIP Pelvis","41476","1.0","41477"
"ART_DEF_UNIT_HIGHWAYMAN_MESO_AMERICAN","41484","41492","HorseBip Spine1","41493","1.0","41494"
"ART_DEF_UNIT_HORSE_ARCHER_MESO_AMERICAN","41501","41509","BIP Pelvis","41510","1.0","41511"
"ART_DEF_UNIT_HORSEMAN_MESO_AMERICAN","41519","41527","HorseBip Spine1","41528","1.0","41529"
"ART_DEF_UNIT_LIGHT_CAVALRY_MESO_AMERICAN","41688","41696","BIP Pelvis","41697","1.0","41698"
"ART_DEF_UNIT_MAILED_KNIGHT_MESO_AMERICAN","41775","41783","BIP Pelvis","41784","1.0","41785"
"ART_DEF_UNIT_MOUNTED_INFANTRY_MESO_AMERICA","42196","42204","BIP Pelvis","42205","1.0","42206"
"ART_DEF_UNIT_TRENCH_CAVALRY_MESO_AMERICAN","42684","42692","HorseBip Spine1","42693","1.0","42694"
"ART_DEF_UNIT_ADVENTURER_EGYPTIAN","43036","43044","HorseBip Spine1","43045","1.0","43046"
"ART_DEF_UNIT_BANDIT_RIDER_EGYPTIAN","43210","43218","HorseBip Spine1","43219","1.0","43220"
"ART_DEF_UNIT_CAMEL_ARCHER_EGYPTIAN","43262","43270","BIP Pelvis","43271","1.0","43272"
"ART_DEF_UNIT_CAMEL_KNIGHT_EGYPTIAN","43280","43288","BIP Pelvis","43289","1.0","43290"
"ART_DEF_UNIT_CAMEL_RIDER_EGYPTIAN","43297","43304","MD","43305","0.7","43306"
"ART_DEF_UNIT_CARABINIER_EGYPTIAN","43343","43351","HorseBip Spine1","43352","1.0","43353"
"ART_DEF_UNIT_CAVALRY_EGYPTIAN","43360","43368","HorseBip Spine1","43369","1.0","43370"
"ART_DEF_UNIT_CHIVALRY_EGYPTIAN","43459","43467","BIP Pelvis","43468","1.0","43469"
"ART_DEF_UNIT_CUIRASSIER_EGYPTIAN","43563","43571","HorseBip Spine1","43572","1.0","43573"
"ART_DEF_UNIT_DRAGOON_EGYPTIAN","43610","43618","HorseBip Spine1","43619","1.0","43620"
"ART_DEF_UNIT_HEAVY_CAVALRY_EGYPTIAN","44044","44052","BIP Pelvis","44053","1.0","44054"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_EGYPTIAN","44096","44104","BIP Pelvis","44105","1.0","44106"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_EGYPTIAN","44113","44121","BIP Pelvis","44122","1.0","44123"
"ART_DEF_UNIT_HORSEMAN_EGYPTIAN","44131","44139","HorseBip Spine1","44140","1.0","44141"
"ART_DEF_UNIT_KNIGHT_EGYPTIAN","44199","44207","BIP Pelvis","44208","1.0","44209"
"ART_DEF_UNIT_LANCER_EGYPTIAN","44216","44224","HorseBip Spine1","44225","1.0","44226"
"ART_DEF_UNIT_LIGHT_CAVALRY_EGYPTIAN","44250","44258","BIP Pelvis","44259","1.0","44260"
"ART_DEF_UNIT_MOUNTED_INFANTRY_EGYPTIAN","44505","44513","BIP Pelvis","44514","1.0","44515"
"ART_DEF_UNIT_CARABINIER_DENMARK","45301","45309","HorseBip Spine1","45310","1.0","45311"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_DENMARK","45415","45423","BIP Pelvis","45424","1.0","45425"
"ART_DEF_UNIT_KNIGHT_DENMARK","45432","45440","HorseBip Spine1","45441","1.0","45442"
"ART_DEF_UNIT_ADVENTURER_INDIA","45753","45761","HorseBip Spine1","45762","1.0","45763"
"ART_DEF_UNIT_BANDIT_RIDER_INDIA","46002","46010","HorseBip Spine1","46011","1.0","46012"
"ART_DEF_UNIT_CAMEL_ARCHER_INDIA","46104","46112","BIP Pelvis","46113","1.0","46114"
"ART_DEF_UNIT_CAMEL_KNIGHT_INDIA","46122","46130","BIP Pelvis","46131","1.0","46132"
"ART_DEF_UNIT_CAMEL_RIDER_INDIA","46139","46146","MD","46147","0.7","46148"
"ART_DEF_UNIT_CARABINIER_INDIA","46185","46193","HorseBip Spine1","46194","1.0","46195"
"ART_DEF_UNIT_CAVALRY_INDIA","46202","46210","HorseBip Spine1","46211","1.0","46212"
"ART_DEF_UNIT_CUIRASSIER_INDIA","46423","46431","HorseBip Spine1","46432","1.0","46433"
"ART_DEF_UNIT_DRAGOON_INDIA","46440","46448","HorseBip Spine1","46449","1.0","46450"
"ART_DEF_UNIT_HEAVY_CAVALRY_INDIA","46870","46877","BIP Pelvis","46878","1.0","46879"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_INDIA","46921","46929","BIP Pelvis","46930","1.0","46931"
"ART_DEF_UNIT_HIGHWAYMAN_INDIA","46938","46946","HorseBip Spine1","46947","1.0","46948"
"ART_DEF_UNIT_HORSE_ARCHER_INDIA","46955","46963","BIP Pelvis","46964","1.0","46965"
"ART_DEF_UNIT_HORSEMAN_INDIA","46973","46981","HorseBip Spine1","46982","1.0","46983"
"ART_DEF_UNIT_KNIGHT_INDIA","47141","47149","BIP Pelvis","47150","1.0","47151"
"ART_DEF_UNIT_LANCER_INDIA","47158","47166","HorseBip Spine1","47167","1.0","47168"
"ART_DEF_UNIT_LIGHT_CAVALRY_INDIA","47192","47200","BIP Pelvis","47201","1.0","47202"
"ART_DEF_UNIT_CHIVALRY_INDIA","47279","47287","BIP Pelvis","47288","1.0","47289"
"ART_DEF_UNIT_MOUNTED_INFANTRY_INDIA","47782","47790","BIP Pelvis","47791","1.0","47792"
"ART_DEF_UNIT_OUTLAW_INDIA","47881","47889","HorseBip Spine1","47890","1.0","47891"
"ART_DEF_UNIT_TRENCH_CAVALRY_INDIA","48417","48425","HorseBip Spine1","48426","1.0","48427"
"ART_DEF_UNIT_CAMEL_ARCHER_GREEK","49013","49021","BIP Pelvis","49022","1.0","49023"
"ART_DEF_UNIT_CARABINIER_GREEK","49061","49069","HorseBip Spine1","49070","1.0","49071"
"ART_DEF_UNIT_CAVALRY_GREEK","49078","49086","HorseBip Spine1","49087","1.0","49088"
"ART_DEF_UNIT_DRAGOON_GREEK","49267","49275","HorseBip Spine1","49276","1.0","49277"
"ART_DEF_UNIT_HEAVY_CAVALRY_GREEK","49653","49661","BIP Pelvis","49662","1.0","49663"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_GREEK","49705","49713","BIP Pelvis","49714","1.0","49715"
"ART_DEF_UNIT_HORSE_ARCHER_GREEK","49722","49730","BIP Pelvis","49731","1.0","49732"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_GREEK","49740","49748","BIP Pelvis","49749","1.0","49750"
"ART_DEF_UNIT_HORSEMAN_GREEK","49758","49766","HorseBip Spine1","49767","1.0","49768"
"ART_DEF_UNIT_KNIGHT_GREEK","49909","49917","BIP Pelvis","49918","1.0","49919"
"ART_DEF_UNIT_LANCER_GREEK","49926","49934","HorseBip Spine1","49935","1.0","49936"
"ART_DEF_UNIT_LIGHT_CAVALRY_GREEK","49943","49950","BIP Pelvis","49951","1.0","49952"
"ART_DEF_UNIT_CHIVALRY_GREEK","50046","50054","BIP Pelvis","50055","1.0","50056"
"ART_DEF_UNIT_MOUNTED_INFANTRY_GREEK","50480","50488","BIP Pelvis","50489","1.0","50490"
"ART_DEF_UNIT_TRENCH_CAVALRY_GREEK","50994","51002","HorseBip Spine1","51003","1.0","51004"
"ART_DEF_UNIT_CARABINIER_GERMAN","51596","51604","HorseBip Spine1","51605","1.0","51606"
"ART_DEF_UNIT_CAVALRY_GERMAN","51648","51656","HorseBip Spine1","51657","1.0","51658"
"ART_DEF_UNIT_CHIVALRY_GERMAN","51764","51771","HorseBip Spine1","51772","1.0","51773"
"ART_DEF_UNIT_CUIRASSIER_GERMAN","51885","51893","HorseBip Spine1","51894","1.0","51895"
"ART_DEF_UNIT_DRAGOON_GERMAN","51902","51910","HorseBip Spine1","51911","1.0","51912"
"ART_DEF_UNIT_HEAVY_CAVALRY_GERMAN","52252","52260","BIP Pelvis","52261","1.0","52262"
"ART_DEF_UNIT_HEAVY_SWORDSMAN_GERMAN","52286","52294","BIP Pelvis","52295","1.0","52296"
"ART_DEF_UNIT_HORSE_ARCHER_GERMAN","52336","52344","BIP Pelvis","52345","1.0","52346"
"ART_DEF_UNIT_HORSE_CROSSBOWMAN_GERMAN","52354","52362","BIP Pelvis","52363","1.0","52364"
"ART_DEF_UNIT_HORSEMAN_GERMAN","52372","52380","HorseBip Spine1","52381","1.0","52382"
"ART_DEF_UNIT_KNIGHT_GERMAN","52506","52514","BIP Pelvis","52515","1.0","52516"
